id,joules,rows,features,exp
1,9.384009,10000r,10f,10000r10f
2,9.54148,10000r,10f,10000r10f
3,10.055333,10000r,10f,10000r10f
4,6.486067,10000r,15f,10000r15f
5,5.821518,10000r,15f,10000r15f
6,5.791734,10000r,15f,10000r15f
7,23.259828,10000r,20f,10000r20f
8,22.802554,10000r,20f,10000r20f
9,23.328737,10000r,20f,10000r20f
10,0.987241,1000r,10f,1000r10f
11,1.058713,1000r,10f,1000r10f
12,1.018124,1000r,10f,1000r10f
13,1.16998,1000r,15f,1000r15f
14,1.099118,1000r,15f,1000r15f
15,1.005125,1000r,15f,1000r15f
16,0.790892,1000r,20f,1000r20f
17,0.813903,1000r,20f,1000r20f
18,0.738157,1000r,20f,1000r20f
19,1.242367,5000r,10f,5000r10f
20,1.354062,5000r,10f,5000r10f
21,1.039731,5000r,10f,5000r10f
22,8.525248,5000r,15f,5000r15f
23,7.938457,5000r,15f,5000r15f
24,8.074382,5000r,15f,5000r15f
25,15.000207,5000r,20f,5000r20f
26,15.12722,5000r,20f,5000r20f
27,13.793299,5000r,20f,5000r20f
28,26.009027,10000r,10f,10000r10f
29,25.967768,10000r,10f,10000r10f
30,24.73071,10000r,10f,10000r10f
31,18.660901,10000r,15f,10000r15f
32,17.811173,10000r,15f,10000r15f
33,18.561232,10000r,15f,10000r15f
34,13.995386,10000r,20f,10000r20f
35,13.480129,10000r,20f,10000r20f
36,14.443933,10000r,20f,10000r20f
37,0.814634,1000r,10f,1000r10f
38,0.80261,1000r,10f,1000r10f
39,0.759215,1000r,10f,1000r10f
40,0.950924,1000r,15f,1000r15f
41,0.902646,1000r,15f,1000r15f
42,0.888304,1000r,15f,1000r15f
43,1.057552,1000r,20f,1000r20f
44,0.94708,1000r,20f,1000r20f
45,1.02618,1000r,20f,1000r20f
46,4.100698,5000r,10f,5000r10f
47,4.173695,5000r,10f,5000r10f
48,4.330983,5000r,10f,5000r10f
49,7.888651,5000r,15f,5000r15f
50,7.250713,5000r,15f,5000r15f
51,7.474773,5000r,15f,5000r15f
52,11.454133,5000r,20f,5000r20f
53,10.661715,5000r,20f,5000r20f
54,10.669101,5000r,20f,5000r20f
