id,joules,rows,features,exp
1,47.861937,10000r,10f,10000r10f
2,64.147359,10000r,10f,10000r10f
3,60.833463,10000r,10f,10000r10f
4,67.019482,10000r,15f,10000r15f
5,66.844067,10000r,15f,10000r15f
6,71.948424,10000r,15f,10000r15f
7,170.362419,10000r,20f,10000r20f
8,162.573498,10000r,20f,10000r20f
9,145.643609,10000r,20f,10000r20f
10,2.276179,1000r,10f,1000r10f
11,2.223018,1000r,10f,1000r10f
12,5.865952,1000r,10f,1000r10f
13,3.945241,1000r,15f,1000r15f
14,3.456471,1000r,15f,1000r15f
15,3.375298,1000r,15f,1000r15f
16,-7.841776,1000r,20f,1000r20f
17,-8.013162,1000r,20f,1000r20f
18,-6.414108,1000r,20f,1000r20f
19,7.762981,5000r,10f,5000r10f
20,14.863304,5000r,10f,5000r10f
21,7.540324,5000r,10f,5000r10f
22,43.646494,5000r,15f,5000r15f
23,43.720896,5000r,15f,5000r15f
24,37.679227,5000r,15f,5000r15f
25,67.728953,5000r,20f,5000r20f
26,75.969776,5000r,20f,5000r20f
27,93.778812,5000r,20f,5000r20f
28,76.559434,10000r,10f,10000r10f
29,73.035456,10000r,10f,10000r10f
30,92.532356,10000r,10f,10000r10f
31,128.159279,10000r,15f,10000r15f
32,125.574751,10000r,15f,10000r15f
33,126.374859,10000r,15f,10000r15f
34,125.943219,10000r,20f,10000r20f
35,124.379321,10000r,20f,10000r20f
36,132.231351,10000r,20f,10000r20f
37,1.914913,1000r,10f,1000r10f
38,1.885799,1000r,10f,1000r10f
39,1.880062,1000r,10f,1000r10f
40,4.137074,1000r,15f,1000r15f
41,3.336661,1000r,15f,1000r15f
42,3.513846,1000r,15f,1000r15f
43,12.161834,1000r,20f,1000r20f
44,11.338899,1000r,20f,1000r20f
45,19.112317,1000r,20f,1000r20f
46,42.590345,5000r,10f,5000r10f
47,41.568375,5000r,10f,5000r10f
48,41.028826,5000r,10f,5000r10f
49,60.452239,5000r,15f,5000r15f
50,52.30077,5000r,15f,5000r15f
51,52.717028,5000r,15f,5000r15f
52,42.364759,5000r,20f,5000r20f
53,35.815218,5000r,20f,5000r20f
54,42.225722,5000r,20f,5000r20f
