id,joules,rows,features,exp
1,2101.148064,10000r,10f,10000r10f
2,2137.252158,10000r,10f,10000r10f
3,2241.603332,10000r,10f,10000r10f
4,2905.066293,10000r,15f,10000r15f
5,2767.190975,10000r,15f,10000r15f
6,2938.723433,10000r,15f,10000r15f
7,8821.768063,10000r,20f,10000r20f
8,8732.726182,10000r,20f,10000r20f
9,8770.823313,10000r,20f,10000r20f
10,285.787416,1000r,10f,1000r10f
11,281.622754,1000r,10f,1000r10f
12,289.006462,1000r,10f,1000r10f
13,304.088516,1000r,15f,1000r15f
14,291.916732,1000r,15f,1000r15f
15,289.680168,1000r,15f,1000r15f
16,226.939361,1000r,20f,1000r20f
17,222.416484,1000r,20f,1000r20f
18,234.189587,1000r,20f,1000r20f
19,511.943942,5000r,10f,5000r10f
20,536.512359,5000r,10f,5000r10f
21,516.889424,5000r,10f,5000r10f
22,2183.016566,5000r,15f,5000r15f
23,2103.504259,5000r,15f,5000r15f
24,1841.055163,5000r,15f,5000r15f
25,3299.430214,5000r,20f,5000r20f
26,3604.668385,5000r,20f,5000r20f
27,3423.447779,5000r,20f,5000r20f
28,7475.47897,10000r,10f,10000r10f
29,7573.579916,10000r,10f,10000r10f
30,7292.970954,10000r,10f,10000r10f
31,5814.410225,10000r,15f,10000r15f
32,5739.440994,10000r,15f,10000r15f
33,5685.956269,10000r,15f,10000r15f
34,5755.521583,10000r,20f,10000r20f
35,5557.497491,10000r,20f,10000r20f
36,5522.259361,10000r,20f,10000r20f
37,232.653029,1000r,10f,1000r10f
38,224.736058,1000r,10f,1000r10f
39,228.217555,1000r,10f,1000r10f
40,274.995878,1000r,15f,1000r15f
41,271.604041,1000r,15f,1000r15f
42,259.051828,1000r,15f,1000r15f
43,253.503501,1000r,20f,1000r20f
44,243.382739,1000r,20f,1000r20f
45,245.764691,1000r,20f,1000r20f
46,1004.852714,5000r,10f,5000r10f
47,1089.136861,5000r,10f,5000r10f
48,1078.783982,5000r,10f,5000r10f
49,1986.40324,5000r,15f,5000r15f
50,2055.261095,5000r,15f,5000r15f
51,2011.488075,5000r,15f,5000r15f
52,3150.318594,5000r,20f,5000r20f
53,3186.152244,5000r,20f,5000r20f
54,3150.704398,5000r,20f,5000r20f
