id,joules,rows,features,exp
1,-0.381835,10000r,10f,10000r10f
2,-0.358581,10000r,10f,10000r10f
3,-0.379028,10000r,10f,10000r10f
4,-0.803829,10000r,15f,10000r15f
5,-0.77661,10000r,15f,10000r15f
6,-0.699828,10000r,15f,10000r15f
7,-1.005857,10000r,20f,10000r20f
8,-0.933103,10000r,20f,10000r20f
9,-0.99957,10000r,20f,10000r20f
10,0.059082,1000r,10f,1000r10f
11,0.010011,1000r,10f,1000r10f
12,-0.017517,1000r,10f,1000r10f
13,-0.066712,1000r,15f,1000r15f
14,-0.002136,1000r,15f,1000r15f
15,0.028991,1000r,15f,1000r15f
16,-0.033814,1000r,20f,1000r20f
17,0.011657,1000r,20f,1000r20f
18,-0.024232,1000r,20f,1000r20f
19,-0.169006,5000r,10f,5000r10f
20,-0.168946,5000r,10f,5000r10f
21,-0.231323,5000r,10f,5000r10f
22,-0.355406,5000r,15f,5000r15f
23,-0.353209,5000r,15f,5000r15f
24,-0.353881,5000r,15f,5000r15f
25,-0.332883,5000r,20f,5000r20f
26,-0.440489,5000r,20f,5000r20f
27,-0.346677,5000r,20f,5000r20f
28,-0.532226,10000r,10f,10000r10f
29,-0.448364,10000r,10f,10000r10f
30,-0.529662,10000r,10f,10000r10f
31,-0.735959,10000r,15f,10000r15f
32,-1.096615,10000r,15f,10000r15f
33,-0.782651,10000r,15f,10000r15f
34,-0.821776,10000r,20f,10000r20f
35,-1.280759,10000r,20f,10000r20f
36,-0.786986,10000r,20f,10000r20f
37,-0.022093,1000r,10f,1000r10f
38,-0.058959,1000r,10f,1000r10f
39,-0.079467,1000r,10f,1000r10f
40,0.809203,1000r,15f,1000r15f
41,-0.021301,1000r,15f,1000r15f
42,-0.029602,1000r,15f,1000r15f
43,6.152144,1000r,20f,1000r20f
44,0.011536,1000r,20f,1000r20f
45,-0.0719,1000r,20f,1000r20f
46,-0.039795,5000r,10f,5000r10f
47,-0.128295,5000r,10f,5000r10f
48,-0.046998,5000r,10f,5000r10f
49,-0.36389,5000r,15f,5000r15f
50,-0.34741,5000r,15f,5000r15f
51,-0.408872,5000r,15f,5000r15f
52,-0.361267,5000r,20f,5000r20f
53,-0.409911,5000r,20f,5000r20f
54,-0.353087,5000r,20f,5000r20f
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
