id,joules,rows,features,exp
1,4.273182,10000r,10f,10000r10f
2,4.107473,10000r,10f,10000r10f
3,3.991688,10000r,10f,10000r10f
4,25.084408,10000r,15f,10000r15f
5,24.429686,10000r,15f,10000r15f
6,25.348324,10000r,15f,10000r15f
7,27.451835,10000r,20f,10000r20f
8,27.945791,10000r,20f,10000r20f
9,26.405451,10000r,20f,10000r20f
10,1.072324,1000r,10f,1000r10f
11,1.048093,1000r,10f,1000r10f
12,1.157286,1000r,10f,1000r10f
13,3.752982,1000r,15f,1000r15f
14,3.38903,1000r,15f,1000r15f
15,3.437857,1000r,15f,1000r15f
16,2.871392,1000r,20f,1000r20f
17,2.45727,1000r,20f,1000r20f
18,2.508417,1000r,20f,1000r20f
19,4.210561,5000r,10f,5000r10f
20,4.270802,5000r,10f,5000r10f
21,3.973562,5000r,10f,5000r10f
22,16.349569,5000r,15f,5000r15f
23,15.132775,5000r,15f,5000r15f
24,16.272359,5000r,15f,5000r15f
25,13.931176,5000r,20f,5000r20f
26,13.199796,5000r,20f,5000r20f
27,12.698148,5000r,20f,5000r20f
28,1.802548,10000r,10f,10000r10f
29,1.699397,10000r,10f,10000r10f
30,2.552728,10000r,10f,10000r10f
31,18.025467,10000r,15f,10000r15f
32,18.30049,10000r,15f,10000r15f
33,18.274854,10000r,15f,10000r15f
34,15.371605,10000r,20f,10000r20f
35,15.812766,10000r,20f,10000r20f
36,15.56716,10000r,20f,10000r20f
37,1.8034,1000r,10f,1000r10f
38,1.876032,1000r,10f,1000r10f
39,1.943597,1000r,10f,1000r10f
40,4.901599,1000r,15f,1000r15f
41,4.807728,1000r,15f,1000r15f
42,4.902576,1000r,15f,1000r15f
43,4.882189,1000r,20f,1000r20f
44,4.82323,1000r,20f,1000r20f
45,4.790455,1000r,20f,1000r20f
46,1.223751,5000r,10f,5000r10f
47,1.480463,5000r,10f,5000r10f
48,1.229733,5000r,10f,5000r10f
49,8.582009,5000r,15f,5000r15f
50,9.190407,5000r,15f,5000r15f
51,8.513956,5000r,15f,5000r15f
52,11.709808,5000r,20f,5000r20f
53,11.500702,5000r,20f,5000r20f
54,11.730193,5000r,20f,5000r20f
