id,joules,rows,features,exp
1,491.506554,10000r,10f,10000r10f
2,508.425823,10000r,10f,10000r10f
3,505.053944,10000r,10f,10000r10f
4,669.334103,10000r,15f,10000r15f
5,666.387148,10000r,15f,10000r15f
6,653.389503,10000r,15f,10000r15f
7,385.441276,10000r,20f,10000r20f
8,372.158471,10000r,20f,10000r20f
9,392.447665,10000r,20f,10000r20f
10,45.532661,1000r,10f,1000r10f
11,52.284779,1000r,10f,1000r10f
12,51.302726,1000r,10f,1000r10f
13,38.097132,1000r,15f,1000r15f
14,43.75068,1000r,15f,1000r15f
15,41.32924,1000r,15f,1000r15f
16,37.968286,1000r,20f,1000r20f
17,37.421657,1000r,20f,1000r20f
18,36.365324,1000r,20f,1000r20f
19,457.575854,5000r,10f,5000r10f
20,438.648657,5000r,10f,5000r10f
21,441.778595,5000r,10f,5000r10f
22,-262027.9495,5000r,15f,5000r15f
23,139.176768,5000r,15f,5000r15f
24,132.464992,5000r,15f,5000r15f
25,154.688264,5000r,20f,5000r20f
26,158.207419,5000r,20f,5000r20f
27,154.531587,5000r,20f,5000r20f
28,627.188091,10000r,10f,10000r10f
29,678.270543,10000r,10f,10000r10f
30,690.773501,10000r,10f,10000r10f
31,646.079829,10000r,15f,10000r15f
32,634.650538,10000r,15f,10000r15f
33,631.520479,10000r,15f,10000r15f
34,377.34321,10000r,20f,10000r20f
35,368.262058,10000r,20f,10000r20f
36,384.240839,10000r,20f,10000r20f
37,76.098987,1000r,10f,1000r10f
38,85.753869,1000r,10f,1000r10f
39,77.018845,1000r,10f,1000r10f
40,41.035722,1000r,15f,1000r15f
41,40.76253,1000r,15f,1000r15f
42,49.207272,1000r,15f,1000r15f
43,61.126309,1000r,20f,1000r20f
44,58.185397,1000r,20f,1000r20f
45,65.433427,1000r,20f,1000r20f
46,171.021535,5000r,10f,5000r10f
47,171.912706,5000r,10f,5000r10f
48,165.741214,5000r,10f,5000r10f
49,222.829386,5000r,15f,5000r15f
50,224.305578,5000r,15f,5000r15f
51,228.608241,5000r,15f,5000r15f
52,218.53832,5000r,20f,5000r20f
53,227.713041,5000r,20f,5000r20f
54,240.513118,5000r,20f,5000r20f
