id,joules,rows,features,exp
1,0.06299,10000r,10f,10000r10f
2,0.060547,10000r,10f,10000r10f
3,0.030702,10000r,10f,10000r10f
4,-0.042664,10000r,15f,10000r15f
5,0.06067,10000r,15f,10000r15f
6,0.052125,10000r,15f,10000r15f
7,-0.105103,10000r,20f,10000r20f
8,-0.176268,10000r,20f,10000r20f
9,0.042358,10000r,20f,10000r20f
10,0.029174,1000r,10f,1000r10f
11,0.02002,1000r,10f,1000r10f
12,0.022399,1000r,10f,1000r10f
13,0.031982,1000r,15f,1000r15f
14,-0.002197,1000r,15f,1000r15f
15,-0.000914,1000r,15f,1000r15f
16,0.035523,1000r,20f,1000r20f
17,0.011597,1000r,20f,1000r20f
18,-0.003784,1000r,20f,1000r20f
19,0.0589,5000r,10f,5000r10f
20,-0.000731,5000r,10f,5000r10f
21,0.035278,5000r,10f,5000r10f
22,0.059144,5000r,15f,5000r15f
23,0.00055,5000r,15f,5000r15f
24,0.035583,5000r,15f,5000r15f
25,0.100769,5000r,20f,5000r20f
26,0.02716,5000r,20f,5000r20f
27,0.053894,5000r,20f,5000r20f
28,-0.000305,10000r,10f,10000r10f
29,0.044739,10000r,10f,10000r10f
30,0.080627,10000r,10f,10000r10f
31,0.228941,10000r,15f,10000r15f
32,0.050598,10000r,15f,10000r15f
33,-0.051819,10000r,15f,10000r15f
34,0.059568,10000r,20f,10000r20f
35,-0.04474,10000r,20f,10000r20f
36,0.046631,10000r,20f,10000r20f
37,0.01703,1000r,10f,1000r10f
38,0.04126,1000r,10f,1000r10f
39,-0.059143,1000r,10f,1000r10f
40,0.000366,1000r,15f,1000r15f
41,-0.005187,1000r,15f,1000r15f
42,-0.000915,1000r,15f,1000r15f
43,-0.009704,1000r,20f,1000r20f
44,-0.003845,1000r,20f,1000r20f
45,-0.061158,1000r,20f,1000r20f
46,0.049012,5000r,10f,5000r10f
47,0.0177,5000r,10f,5000r10f
48,0.022278,5000r,10f,5000r10f
49,-0.013306,5000r,15f,5000r15f
50,-0.021911,5000r,15f,5000r15f
51,-0.000917,5000r,15f,5000r15f
52,0.019288,5000r,20f,5000r20f
53,0.073304,5000r,20f,5000r20f
54,0.00116,5000r,20f,5000r20f
