id,joules,rows,features,exp
1,432.090081,10000r,10f,10000r10f
2,443.066554,10000r,10f,10000r10f
3,433.660389,10000r,10f,10000r10f
4,715.049377,10000r,15f,10000r15f
5,710.527906,10000r,15f,10000r15f
6,701.002661,10000r,15f,10000r15f
7,739.212586,10000r,20f,10000r20f
8,718.611442,10000r,20f,10000r20f
9,725.560034,10000r,20f,10000r20f
10,8.167826,1000r,10f,1000r10f
11,8.140177,1000r,10f,1000r10f
12,7.979961,1000r,10f,1000r10f
13,10.097203,1000r,15f,1000r15f
14,10.46738,1000r,15f,1000r15f
15,10.193272,1000r,15f,1000r15f
16,15.694846,1000r,20f,1000r20f
17,13.725185,1000r,20f,1000r20f
18,14.842371,1000r,20f,1000r20f
19,186.702036,5000r,10f,5000r10f
20,206.619406,5000r,10f,5000r10f
21,203.307462,5000r,10f,5000r10f
22,243.422839,5000r,15f,5000r15f
23,269.16197,5000r,15f,5000r15f
24,245.974956,5000r,15f,5000r15f
25,336.491266,5000r,20f,5000r20f
26,316.806379,5000r,20f,5000r20f
27,316.551558,5000r,20f,5000r20f
28,444.810445,10000r,10f,10000r10f
29,447.366653,10000r,10f,10000r10f
30,438.527075,10000r,10f,10000r10f
31,628.113749,10000r,15f,10000r15f
32,612.207599,10000r,15f,10000r15f
33,612.547016,10000r,15f,10000r15f
34,533.998754,10000r,20f,10000r20f
35,536.85855,10000r,20f,10000r20f
36,537.493985,10000r,20f,10000r20f
37,8.593851,1000r,10f,1000r10f
38,8.567055,1000r,10f,1000r10f
39,8.091776,1000r,10f,1000r10f
40,11.272677,1000r,15f,1000r15f
41,11.254915,1000r,15f,1000r15f
42,12.341584,1000r,15f,1000r15f
43,16.079242,1000r,20f,1000r20f
44,15.342491,1000r,20f,1000r20f
45,13.263515,1000r,20f,1000r20f
46,195.099782,5000r,10f,5000r10f
47,200.943454,5000r,10f,5000r10f
48,202.216401,5000r,10f,5000r10f
49,272.865574,5000r,15f,5000r15f
50,295.211829,5000r,15f,5000r15f
51,268.38475,5000r,15f,5000r15f
52,307.930303,5000r,20f,5000r20f
53,310.186766,5000r,20f,5000r20f
54,315.122728,5000r,20f,5000r20f
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
