id,joules,rows,features,exp
1,195.765734,10000r,10f,10000r10f
2,190.316286,10000r,10f,10000r10f
3,190.586854,10000r,10f,10000r10f
4,92.744636,10000r,15f,10000r15f
5,112.085956,10000r,15f,10000r15f
6,94.646974,10000r,15f,10000r15f
7,154.575776,10000r,20f,10000r20f
8,149.350816,10000r,20f,10000r20f
9,137.815749,10000r,20f,10000r20f
10,27.876515,1000r,10f,1000r10f
11,29.183031,1000r,10f,1000r10f
12,35.41568,1000r,10f,1000r10f
13,48.216307,1000r,15f,1000r15f
14,46.961794,1000r,15f,1000r15f
15,49.975091,1000r,15f,1000r15f
16,62.63961,1000r,20f,1000r20f
17,63.362814,1000r,20f,1000r20f
18,64.107991,1000r,20f,1000r20f
19,174.3502,5000r,10f,5000r10f
20,156.787929,5000r,10f,5000r10f
21,158.323265,5000r,10f,5000r10f
22,124.1729,5000r,15f,5000r15f
23,130.273959,5000r,15f,5000r15f
24,120.380185,5000r,15f,5000r15f
25,159.969804,5000r,20f,5000r20f
26,158.354454,5000r,20f,5000r20f
27,163.836251,5000r,20f,5000r20f
28,156.610621,10000r,10f,10000r10f
29,155.204438,10000r,10f,10000r10f
30,150.085126,10000r,10f,10000r10f
31,95.000001,10000r,15f,10000r15f
32,98.993032,10000r,15f,10000r15f
33,89.597853,10000r,15f,10000r15f
34,104.388221,10000r,20f,10000r20f
35,104.350624,10000r,20f,10000r20f
36,112.460831,10000r,20f,10000r20f
37,26.755303,1000r,10f,1000r10f
38,24.719662,1000r,10f,1000r10f
39,22.191167,1000r,10f,1000r10f
40,49.307613,1000r,15f,1000r15f
41,47.582276,1000r,15f,1000r15f
42,41.475967,1000r,15f,1000r15f
43,36.76437,1000r,20f,1000r20f
44,39.152428,1000r,20f,1000r20f
45,38.817039,1000r,20f,1000r20f
46,105.727268,5000r,10f,5000r10f
47,116.957464,5000r,10f,5000r10f
48,110.644918,5000r,10f,5000r10f
49,149.049057,5000r,15f,5000r15f
50,153.566745,5000r,15f,5000r15f
51,143.229126,5000r,15f,5000r15f
52,164.49488,5000r,20f,5000r20f
53,170.29766,5000r,20f,5000r20f
54,166.312623,5000r,20f,5000r20f
