id,joules,dataset,rows,features,exp
1,3.11309,anon,10000r,10f,anon10000r10f
2,3.079521,anon,10000r,10f,anon10000r10f
3,2.948234,anon,10000r,10f,anon10000r10f
4,7.318035,anon,10000r,15f,anon10000r15f
5,7.673137,anon,10000r,15f,anon10000r15f
6,7.70756,anon,10000r,15f,anon10000r15f
7,3.833791,anon,10000r,20f,anon10000r20f
8,4.041189,anon,10000r,20f,anon10000r20f
9,3.80364,anon,10000r,20f,anon10000r20f
10,0.257629,anon,1000r,10f,anon1000r10f
11,0.254088,anon,1000r,10f,anon1000r10f
12,0.295776,anon,1000r,10f,anon1000r10f
13,0.495787,anon,1000r,15f,anon1000r15f
14,0.522277,anon,1000r,15f,anon1000r15f
15,0.527952,anon,1000r,15f,anon1000r15f
16,0.706174,anon,1000r,20f,anon1000r20f
17,0.671507,anon,1000r,20f,anon1000r20f
18,0.663329,anon,1000r,20f,anon1000r20f
19,1.458187,anon,5000r,10f,anon5000r10f
20,1.407345,anon,5000r,10f,anon5000r10f
21,1.563717,anon,5000r,10f,anon5000r10f
22,2.322137,anon,5000r,15f,anon5000r15f
23,2.241693,anon,5000r,15f,anon5000r15f
24,2.229181,anon,5000r,15f,anon5000r15f
25,2.219415,anon,5000r,20f,anon5000r20f
26,2.209283,anon,5000r,20f,anon5000r20f
27,2.211847,anon,5000r,20f,anon5000r20f
28,3.21917,anon,10000r,10f,anon10000r10f
29,3.309562,anon,10000r,10f,anon10000r10f
30,3.176262,anon,10000r,10f,anon10000r10f
31,3.95989,anon,10000r,15f,anon10000r15f
32,4.2719,anon,10000r,15f,anon10000r15f
33,3.873342,anon,10000r,15f,anon10000r15f
34,7.249005,anon,10000r,20f,anon10000r20f
35,7.811809,anon,10000r,20f,anon10000r20f
36,7.123151,anon,10000r,20f,anon10000r20f
37,0.329467,anon,1000r,10f,anon1000r10f
38,0.327269,anon,1000r,10f,anon1000r10f
39,0.351927,anon,1000r,10f,anon1000r10f
40,0.357727,anon,1000r,15f,anon1000r15f
41,0.346802,anon,1000r,15f,anon1000r15f
42,0.375365,anon,1000r,15f,anon1000r15f
43,0.660095,anon,1000r,20f,anon1000r20f
44,0.673277,anon,1000r,20f,anon1000r20f
45,0.584289,anon,1000r,20f,anon1000r20f
46,1.596797,anon,5000r,10f,anon5000r10f
47,1.535152,anon,5000r,10f,anon5000r10f
48,1.658137,anon,5000r,10f,anon5000r10f
49,1.631343,anon,5000r,15f,anon5000r15f
50,1.574887,anon,5000r,15f,anon5000r15f
51,1.555111,anon,5000r,15f,anon5000r15f
52,2.18017,anon,5000r,20f,anon5000r20f
53,2.206538,anon,5000r,20f,anon5000r20f
54,2.275507,anon,5000r,20f,anon5000r20f
55,12.497099,orig,10000r,10f,orig10000r10f
56,12.621001,orig,10000r,10f,orig10000r10f
57,13.003567,orig,10000r,10f,orig10000r10f
58,13.804102,orig,10000r,15f,orig10000r15f
59,13.494655,orig,10000r,15f,orig10000r15f
60,13.499294,orig,10000r,15f,orig10000r15f
61,27.093619,orig,10000r,20f,orig10000r20f
62,26.843743,orig,10000r,20f,orig10000r20f
63,27.132377,orig,10000r,20f,orig10000r20f
64,1.24487,orig,1000r,10f,orig1000r10f
65,1.312801,orig,1000r,10f,orig1000r10f
66,1.3139,orig,1000r,10f,orig1000r10f
67,1.665767,orig,1000r,15f,orig1000r15f
68,1.621395,orig,1000r,15f,orig1000r15f
69,1.533077,orig,1000r,15f,orig1000r15f
70,1.497066,orig,1000r,20f,orig1000r20f
71,1.48541,orig,1000r,20f,orig1000r20f
72,1.401486,orig,1000r,20f,orig1000r20f
73,2.700554,orig,5000r,10f,orig5000r10f
74,2.761407,orig,5000r,10f,orig5000r10f
75,2.603448,orig,5000r,10f,orig5000r10f
76,10.847385,orig,5000r,15f,orig5000r15f
77,10.18015,orig,5000r,15f,orig5000r15f
78,10.303563,orig,5000r,15f,orig5000r15f
79,17.219622,orig,5000r,20f,orig5000r20f
80,17.336503,orig,5000r,20f,orig5000r20f
81,16.005146,orig,5000r,20f,orig5000r20f
82,29.228197,orig,10000r,10f,orig10000r10f
83,29.27733,orig,10000r,10f,orig10000r10f
84,27.906972,orig,10000r,10f,orig10000r10f
85,22.620791,orig,10000r,15f,orig10000r15f
86,22.083073,orig,10000r,15f,orig10000r15f
87,22.434574,orig,10000r,15f,orig10000r15f
88,21.244391,orig,10000r,20f,orig10000r20f
89,21.291938,orig,10000r,20f,orig10000r20f
90,21.567084,orig,10000r,20f,orig10000r20f
91,1.144101,orig,1000r,10f,orig1000r10f
92,1.129879,orig,1000r,10f,orig1000r10f
93,1.111142,orig,1000r,10f,orig1000r10f
94,1.308651,orig,1000r,15f,orig1000r15f
95,1.249448,orig,1000r,15f,orig1000r15f
96,1.263669,orig,1000r,15f,orig1000r15f
97,1.717647,orig,1000r,20f,orig1000r20f
98,1.620357,orig,1000r,20f,orig1000r20f
99,1.610469,orig,1000r,20f,orig1000r20f
100,5.697495,orig,5000r,10f,orig5000r10f
101,5.708847,orig,5000r,10f,orig5000r10f
102,5.98912,orig,5000r,10f,orig5000r10f
103,9.519994,orig,5000r,15f,orig5000r15f
104,8.8256,orig,5000r,15f,orig5000r15f
105,9.029884,orig,5000r,15f,orig5000r15f
106,13.634303,orig,5000r,20f,orig5000r20f
107,12.868253,orig,5000r,20f,orig5000r20f
108,12.944608,orig,5000r,20f,orig5000r20f
