id,joules,dataset,rows,features,exp
1,78.210493,anon,10000r,10f,anon10000r10f
2,75.206289,anon,10000r,10f,anon10000r10f
3,77.445602,anon,10000r,10f,anon10000r10f
4,103.77988599999999,anon,10000r,15f,anon10000r15f
5,108.317899,anon,10000r,15f,anon10000r15f
6,116.39954399999999,anon,10000r,15f,anon10000r15f
7,103.42948299999999,anon,10000r,20f,anon10000r20f
8,95.76763799999999,anon,10000r,20f,anon10000r20f
9,106.64572299999999,anon,10000r,20f,anon10000r20f
10,1.965388,anon,1000r,10f,anon1000r10f
11,2.04986,anon,1000r,10f,anon1000r10f
12,1.9951729999999999,anon,1000r,10f,anon1000r10f
13,3.2834999999999996,anon,1000r,15f,anon1000r15f
14,3.157403,anon,1000r,15f,anon1000r15f
15,3.121756,anon,1000r,15f,anon1000r15f
16,14.199121,anon,1000r,20f,anon1000r20f
17,14.212487999999999,anon,1000r,20f,anon1000r20f
18,12.604949,anon,1000r,20f,anon1000r20f
19,25.592585,anon,5000r,10f,anon5000r10f
20,25.585932999999997,anon,5000r,10f,anon5000r10f
21,25.901301,anon,5000r,10f,anon5000r10f
22,42.377883,anon,5000r,15f,anon5000r15f
23,36.360686,anon,5000r,15f,anon5000r15f
24,65.256912,anon,5000r,15f,anon5000r15f
25,30.568890999999997,anon,5000r,20f,anon5000r20f
26,26.996817999999998,anon,5000r,20f,anon5000r20f
27,27.034537999999998,anon,5000r,20f,anon5000r20f
28,87.18489699999999,anon,10000r,10f,anon10000r10f
29,90.750501,anon,10000r,10f,anon10000r10f
30,85.910241,anon,10000r,10f,anon10000r10f
31,110.68874199999999,anon,10000r,15f,anon10000r15f
32,102.928936,anon,10000r,15f,anon10000r15f
33,122.99816,anon,10000r,15f,anon10000r15f
34,142.927979,anon,10000r,20f,anon10000r20f
35,139.44153799999998,anon,10000r,20f,anon10000r20f
36,122.07543199999999,anon,10000r,20f,anon10000r20f
37,2.098016,anon,1000r,10f,anon1000r10f
38,2.046747,anon,1000r,10f,anon1000r10f
39,2.036066,anon,1000r,10f,anon1000r10f
40,2.291254,anon,1000r,15f,anon1000r15f
41,2.169245,anon,1000r,15f,anon1000r15f
42,2.204401,anon,1000r,15f,anon1000r15f
43,4.275685,anon,1000r,20f,anon1000r20f
44,4.3140149999999995,anon,1000r,20f,anon1000r20f
45,4.549733,anon,1000r,20f,anon1000r20f
46,13.689784,anon,5000r,10f,anon5000r10f
47,13.534267,anon,5000r,10f,anon5000r10f
48,13.715295999999999,anon,5000r,10f,anon5000r10f
49,23.548707,anon,5000r,15f,anon5000r15f
50,23.883117,anon,5000r,15f,anon5000r15f
51,21.908941,anon,5000r,15f,anon5000r15f
52,54.926251,anon,5000r,20f,anon5000r20f
53,52.804795999999996,anon,5000r,20f,anon5000r20f
54,52.347338,anon,5000r,20f,anon5000r20f
55,126.07243,orig,10000r,10f,orig10000r10f
56,139.353648,orig,10000r,10f,orig10000r10f
57,138.279065,orig,10000r,10f,orig10000r10f
58,170.799368,orig,10000r,15f,orig10000r15f
59,175.16196599999998,orig,10000r,15f,orig10000r15f
60,188.34796799999998,orig,10000r,15f,orig10000r15f
61,273.791902,orig,10000r,20f,orig10000r20f
62,258.341136,orig,10000r,20f,orig10000r20f
63,252.289332,orig,10000r,20f,orig10000r20f
64,4.241567,orig,1000r,10f,orig1000r10f
65,4.2728779999999995,orig,1000r,10f,orig1000r10f
66,7.8611249999999995,orig,1000r,10f,orig1000r10f
67,7.228740999999999,orig,1000r,15f,orig1000r15f
68,6.613874,orig,1000r,15f,orig1000r15f
69,6.497053999999999,orig,1000r,15f,orig1000r15f
70,6.357345,orig,1000r,20f,orig1000r20f
71,6.199326,orig,1000r,20f,orig1000r20f
72,6.190841,orig,1000r,20f,orig1000r20f
73,33.355565999999996,orig,5000r,10f,orig5000r10f
74,40.449237,orig,5000r,10f,orig5000r10f
75,33.441625,orig,5000r,10f,orig5000r10f
76,86.024377,orig,5000r,15f,orig5000r15f
77,80.081582,orig,5000r,15f,orig5000r15f
78,102.936139,orig,5000r,15f,orig5000r15f
79,98.297844,orig,5000r,20f,orig5000r20f
80,102.966594,orig,5000r,20f,orig5000r20f
81,120.81335,orig,5000r,20f,orig5000r20f
82,163.744331,orig,10000r,10f,orig10000r10f
83,163.785957,orig,10000r,10f,orig10000r10f
84,178.44259699999998,orig,10000r,10f,orig10000r10f
85,238.848021,orig,10000r,15f,orig10000r15f
86,228.50368699999999,orig,10000r,15f,orig10000r15f
87,249.373019,orig,10000r,15f,orig10000r15f
88,268.871198,orig,10000r,20f,orig10000r20f
89,263.820859,orig,10000r,20f,orig10000r20f
90,254.306783,orig,10000r,20f,orig10000r20f
91,4.012929,orig,1000r,10f,orig1000r10f
92,3.932546,orig,1000r,10f,orig1000r10f
93,3.9161279999999996,orig,1000r,10f,orig1000r10f
94,6.428328,orig,1000r,15f,orig1000r15f
95,5.5059059999999995,orig,1000r,15f,orig1000r15f
96,5.718247,orig,1000r,15f,orig1000r15f
97,16.437518999999998,orig,1000r,20f,orig1000r20f
98,15.652913999999999,orig,1000r,20f,orig1000r20f
99,23.66205,orig,1000r,20f,orig1000r20f
100,56.280128999999995,orig,5000r,10f,orig5000r10f
101,55.102641999999996,orig,5000r,10f,orig5000r10f
102,54.744122,orig,5000r,10f,orig5000r10f
103,84.000946,orig,5000r,15f,orig5000r15f
104,76.183887,orig,5000r,15f,orig5000r15f
105,74.625969,orig,5000r,15f,orig5000r15f
106,97.29101,orig,5000r,20f,orig5000r20f
107,88.620014,orig,5000r,20f,orig5000r20f
108,94.57306,orig,5000r,20f,orig5000r20f
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
