id,joules,dataset,rows,features,exp
1,1493.406943,anon,10000r,10f,anon10000r10f
2,1469.934347,anon,10000r,10f,anon10000r10f
3,1465.014621,anon,10000r,10f,anon10000r10f
4,2116.90083,anon,10000r,15f,anon10000r15f
5,2084.09525,anon,10000r,15f,anon10000r15f
6,2011.870399,anon,10000r,15f,anon10000r15f
7,1698.986007,anon,10000r,20f,anon10000r20f
8,1667.182988,anon,10000r,20f,anon10000r20f
9,1670.9836369999998,anon,10000r,20f,anon10000r20f
10,427.354497,anon,1000r,10f,anon1000r10f
11,431.929741,anon,1000r,10f,anon1000r10f
12,430.669003,anon,1000r,10f,anon1000r10f
13,463.563083,anon,1000r,15f,anon1000r15f
14,456.523124,anon,1000r,15f,anon1000r15f
15,457.177357,anon,1000r,15f,anon1000r15f
16,535.014988,anon,1000r,20f,anon1000r20f
17,527.135003,anon,1000r,20f,anon1000r20f
18,527.303459,anon,1000r,20f,anon1000r20f
19,841.375775,anon,5000r,10f,anon5000r10f
20,842.156719,anon,5000r,10f,anon5000r10f
21,840.530807,anon,5000r,10f,anon5000r10f
22,1033.627603,anon,5000r,15f,anon5000r15f
23,1003.299678,anon,5000r,15f,anon5000r15f
24,1014.8233899999999,anon,5000r,15f,anon5000r15f
25,1046.256598,anon,5000r,20f,anon5000r20f
26,992.8907069999999,anon,5000r,20f,anon5000r20f
27,993.5297439999999,anon,5000r,20f,anon5000r20f
28,1325.717432,anon,10000r,10f,anon10000r10f
29,1288.505612,anon,10000r,10f,anon10000r10f
30,1282.618115,anon,10000r,10f,anon10000r10f
31,1773.847571,anon,10000r,15f,anon10000r15f
32,1709.228535,anon,10000r,15f,anon10000r15f
33,1752.339874,anon,10000r,15f,anon10000r15f
34,2382.956912,anon,10000r,20f,anon10000r20f
35,2398.257288,anon,10000r,20f,anon10000r20f
36,2261.521433,anon,10000r,20f,anon10000r20f
37,448.989147,anon,1000r,10f,anon1000r10f
38,454.079281,anon,1000r,10f,anon1000r10f
39,453.617552,anon,1000r,10f,anon1000r10f
40,453.104858,anon,1000r,15f,anon1000r15f
41,445.179464,anon,1000r,15f,anon1000r15f
42,444.869039,anon,1000r,15f,anon1000r15f
43,555.461774,anon,1000r,20f,anon1000r20f
44,547.747437,anon,1000r,20f,anon1000r20f
45,548.008058,anon,1000r,20f,anon1000r20f
46,882.8054179999999,anon,5000r,10f,anon5000r10f
47,878.0957139999999,anon,5000r,10f,anon5000r10f
48,871.36105,anon,5000r,10f,anon5000r10f
49,957.8893939999999,anon,5000r,15f,anon5000r15f
50,927.7226009999999,anon,5000r,15f,anon5000r15f
51,938.861488,anon,5000r,15f,anon5000r15f
52,1060.773347,anon,5000r,20f,anon5000r20f
53,1050.329098,anon,5000r,20f,anon5000r20f
54,1044.601695,anon,5000r,20f,anon5000r20f
55,3594.555007,orig,10000r,10f,orig10000r10f
56,3607.1865049999997,orig,10000r,10f,orig10000r10f
57,3706.617953,orig,10000r,10f,orig10000r10f
58,5021.967122999999,orig,10000r,15f,orig10000r15f
59,4851.286225,orig,10000r,15f,orig10000r15f
60,4950.593832,orig,10000r,15f,orig10000r15f
61,10520.75407,orig,10000r,20f,orig10000r20f
62,10399.90917,orig,10000r,20f,orig10000r20f
63,10441.80695,orig,10000r,20f,orig10000r20f
64,713.1419129999999,orig,1000r,10f,orig1000r10f
65,713.552495,orig,1000r,10f,orig1000r10f
66,719.6754649999999,orig,1000r,10f,orig1000r10f
67,767.6515989999999,orig,1000r,15f,orig1000r15f
68,748.439856,orig,1000r,15f,orig1000r15f
69,746.857525,orig,1000r,15f,orig1000r15f
70,761.954349,orig,1000r,20f,orig1000r20f
71,749.551487,orig,1000r,20f,orig1000r20f
72,761.4930459999999,orig,1000r,20f,orig1000r20f
73,1353.3197169999999,orig,5000r,10f,orig5000r10f
74,1378.669078,orig,5000r,10f,orig5000r10f
