id,joules,dataset,rows,features,exp
1,1.030027,anon,10000r,10f,anon10000r10f
2,1.005063,anon,10000r,10f,anon10000r10f
3,1.02783,anon,10000r,10f,anon10000r10f
4,1.6827949999999998,anon,10000r,15f,anon10000r15f
5,1.5938679999999998,anon,10000r,15f,anon10000r15f
6,1.585872,anon,10000r,15f,anon10000r15f
7,1.984186,anon,10000r,20f,anon10000r20f
8,2.191278,anon,10000r,20f,anon10000r20f
9,2.049738,anon,10000r,20f,anon10000r20f
10,0.14154,anon,1000r,10f,anon1000r10f
11,0.144164,anon,1000r,10f,anon1000r10f
12,0.160156,anon,1000r,10f,anon1000r10f
13,0.243774,anon,1000r,15f,anon1000r15f
14,0.176147,anon,1000r,15f,anon1000r15f
15,0.14874199999999999,anon,1000r,15f,anon1000r15f
16,0.27014099999999996,anon,1000r,20f,anon1000r20f
17,0.19860799999999998,anon,1000r,20f,anon1000r20f
18,0.23510699999999998,anon,1000r,20f,anon1000r20f
19,0.5109239999999999,anon,5000r,10f,anon5000r10f
20,0.518249,anon,5000r,10f,anon5000r10f
21,0.565306,anon,5000r,10f,anon5000r10f
22,0.822813,anon,5000r,15f,anon5000r15f
23,0.7652559999999999,anon,5000r,15f,anon5000r15f
24,0.7650739999999999,anon,5000r,15f,anon5000r15f
25,0.87286,anon,5000r,20f,anon5000r20f
26,0.9123509999999999,anon,5000r,20f,anon5000r20f
27,0.876401,anon,5000r,20f,anon5000r20f
28,1.1184669999999999,anon,10000r,10f,anon10000r10f
29,1.038877,anon,10000r,10f,anon10000r10f
30,1.088681,anon,10000r,10f,anon10000r10f
31,1.5545609999999999,anon,10000r,15f,anon10000r15f
32,1.8559519999999998,anon,10000r,15f,anon10000r15f
33,1.586482,anon,10000r,15f,anon10000r15f
34,1.817867,anon,10000r,20f,anon10000r20f
35,2.306575,anon,10000r,20f,anon10000r20f
36,1.845332,anon,10000r,20f,anon10000r20f
37,0.176085,anon,1000r,10f,anon1000r10f
38,0.179565,anon,1000r,10f,anon1000r10f
39,0.20104899999999998,anon,1000r,10f,anon1000r10f
40,0.259276,anon,1000r,15f,anon1000r15f
41,0.179748,anon,1000r,15f,anon1000r15f
42,0.184997,anon,1000r,15f,anon1000r15f
43,0.235168,anon,1000r,20f,anon1000r20f
44,0.20477199999999998,anon,1000r,20f,anon1000r20f
45,0.212951,anon,1000r,20f,anon1000r20f
46,0.357116,anon,5000r,10f,anon5000r10f
47,0.407835,anon,5000r,10f,anon5000r10f
48,0.38067599999999996,anon,5000r,10f,anon5000r10f
49,0.770749,anon,5000r,15f,anon5000r15f
50,0.761289,anon,5000r,15f,anon5000r15f
51,0.7640359999999999,anon,5000r,15f,anon5000r15f
52,0.876402,anon,5000r,20f,anon5000r20f
53,0.879637,anon,5000r,20f,anon5000r20f
54,0.8868389999999999,anon,5000r,20f,anon5000r20f
55,0.648192,orig,10000r,10f,orig10000r10f
56,0.646482,orig,10000r,10f,orig10000r10f
57,0.648802,orig,10000r,10f,orig10000r10f
58,0.8789659999999999,orig,10000r,15f,orig10000r15f
59,0.8172579999999999,orig,10000r,15f,orig10000r15f
60,0.8860439999999999,orig,10000r,15f,orig10000r15f
61,0.978329,orig,10000r,20f,orig10000r20f
62,1.258175,orig,10000r,20f,orig10000r20f
63,1.050168,orig,10000r,20f,orig10000r20f
64,0.200622,orig,1000r,10f,orig1000r10f
65,0.154175,orig,1000r,10f,orig1000r10f
66,0.142639,orig,1000r,10f,orig1000r10f
67,0.177062,orig,1000r,15f,orig1000r15f
68,0.174011,orig,1000r,15f,orig1000r15f
69,0.177733,orig,1000r,15f,orig1000r15f
70,0.23632699999999998,orig,1000r,20f,orig1000r20f
71,0.21026499999999998,orig,1000r,20f,orig1000r20f
72,0.21087499999999998,orig,1000r,20f,orig1000r20f
73,0.341918,orig,5000r,10f,orig5000r10f
74,0.349303,orig,5000r,10f,orig5000r10f
75,0.333983,orig,5000r,10f,orig5000r10f
76,0.46740699999999996,orig,5000r,15f,orig5000r15f
77,0.412047,orig,5000r,15f,orig5000r15f
78,0.411193,orig,5000r,15f,orig5000r15f
79,0.5399769999999999,orig,5000r,20f,orig5000r20f
80,0.471862,orig,5000r,20f,orig5000r20f
81,0.529724,orig,5000r,20f,orig5000r20f
82,0.586241,orig,10000r,10f,orig10000r10f
83,0.590513,orig,10000r,10f,orig10000r10f
84,0.5590189999999999,orig,10000r,10f,orig10000r10f
85,0.8186019999999999,orig,10000r,15f,orig10000r15f
86,0.7593369999999999,orig,10000r,15f,orig10000r15f
87,0.803831,orig,10000r,15f,orig10000r15f
88,0.996091,orig,10000r,20f,orig10000r20f
89,1.025816,orig,10000r,20f,orig10000r20f
90,1.058346,orig,10000r,20f,orig10000r20f
91,0.153992,orig,1000r,10f,orig1000r10f
92,0.12060599999999999,orig,1000r,10f,orig1000r10f
93,0.121582,orig,1000r,10f,orig1000r10f
94,1.068479,orig,1000r,15f,orig1000r15f
95,0.158447,orig,1000r,15f,orig1000r15f
