id,joules,dataset,rows,features,exp
1,3.879507,anon,10000r,10f,anon10000r10f
2,3.910085,anon,10000r,10f,anon10000r10f
3,3.830008,anon,10000r,10f,anon10000r10f
4,8.532388,anon,10000r,15f,anon10000r15f
5,8.789223,anon,10000r,15f,anon10000r15f
6,8.388345,anon,10000r,15f,anon10000r15f
7,11.773895,anon,10000r,20f,anon10000r20f
8,11.95108,anon,10000r,20f,anon10000r20f
9,12.185697999999999,anon,10000r,20f,anon10000r20f
10,0.690672,anon,1000r,10f,anon1000r10f
11,0.701537,anon,1000r,10f,anon1000r10f
12,0.714658,anon,1000r,10f,anon1000r10f
13,0.900937,anon,1000r,15f,anon1000r15f
14,0.864255,anon,1000r,15f,anon1000r15f
15,0.876768,anon,1000r,15f,anon1000r15f
16,1.254819,anon,1000r,20f,anon1000r20f
17,1.3045,anon,1000r,20f,anon1000r20f
18,1.161679,anon,1000r,20f,anon1000r20f
19,3.497244,anon,5000r,10f,anon5000r10f
20,3.5012119999999998,anon,5000r,10f,anon5000r10f
21,3.549063,anon,5000r,10f,anon5000r10f
22,4.760668,anon,5000r,15f,anon5000r15f
23,4.902209,anon,5000r,15f,anon5000r15f
24,4.591114,anon,5000r,15f,anon5000r15f
25,5.809557,anon,5000r,20f,anon5000r20f
26,5.7811129999999995,anon,5000r,20f,anon5000r20f
27,5.805649,anon,5000r,20f,anon5000r20f
28,4.624743,anon,10000r,10f,anon10000r10f
29,4.525319,anon,10000r,10f,anon10000r10f
30,4.293934999999999,anon,10000r,10f,anon10000r10f
31,8.694253,anon,10000r,15f,anon10000r15f
32,8.909035,anon,10000r,15f,anon10000r15f
33,8.528177,anon,10000r,15f,anon10000r15f
34,12.816127999999999,anon,10000r,20f,anon10000r20f
35,12.65878,anon,10000r,20f,anon10000r20f
36,12.015533,anon,10000r,20f,anon10000r20f
37,0.825743,anon,1000r,10f,anon1000r10f
38,0.808653,anon,1000r,10f,anon1000r10f
39,0.7938219999999999,anon,1000r,10f,anon1000r10f
40,0.905515,anon,1000r,15f,anon1000r15f
41,0.83563,anon,1000r,15f,anon1000r15f
