id,joules,dataset,rows,features,exp
1,0.9409759999999999,anon,10000r,10f,anon10000r10f
2,0.9047219999999999,anon,10000r,10f,anon10000r10f
3,0.935666,anon,10000r,10f,anon10000r10f
4,1.510861,anon,10000r,15f,anon10000r15f
5,1.411556,anon,10000r,15f,anon10000r15f
6,1.3406939999999998,anon,10000r,15f,anon10000r15f
7,1.909297,anon,10000r,20f,anon10000r20f
8,1.921808,anon,10000r,20f,anon10000r20f
9,1.792171,anon,10000r,20f,anon10000r20f
10,0.143554,anon,1000r,10f,anon1000r10f
11,0.179259,anon,1000r,10f,anon1000r10f
12,0.153992,anon,1000r,10f,anon1000r10f
13,0.177124,anon,1000r,15f,anon1000r15f
14,0.17748899999999998,anon,1000r,15f,anon1000r15f
15,0.174376,anon,1000r,15f,anon1000r15f
16,0.23168899999999998,anon,1000r,20f,anon1000r20f
17,0.213133,anon,1000r,20f,anon1000r20f
18,0.234619,anon,1000r,20f,anon1000r20f
19,0.467589,anon,5000r,10f,anon5000r10f
20,0.464964,anon,5000r,10f,anon5000r10f
21,0.432799,anon,5000r,10f,anon5000r10f
22,0.6419039999999999,anon,5000r,15f,anon5000r15f
23,0.6447729999999999,anon,5000r,15f,anon5000r15f
24,0.606688,anon,5000r,15f,anon5000r15f
25,0.815245,anon,5000r,20f,anon5000r20f
26,0.8693219999999999,anon,5000r,20f,anon5000r20f
27,0.8744489999999999,anon,5000r,20f,anon5000r20f
28,0.9452499999999999,anon,10000r,10f,anon10000r10f
29,0.9426249999999999,anon,10000r,10f,anon10000r10f
30,0.900327,anon,10000r,10f,anon10000r10f
31,1.383481,anon,10000r,15f,anon10000r15f
32,1.3679169999999998,anon,10000r,15f,anon10000r15f
33,1.3715789999999999,anon,10000r,15f,anon10000r15f
34,1.745053,anon,10000r,20f,anon10000r20f
35,1.8214679999999999,anon,10000r,20f,anon10000r20f
36,1.758967,anon,10000r,20f,anon10000r20f
37,0.156127,anon,1000r,10f,anon1000r10f
38,0.11096099999999999,anon,1000r,10f,anon1000r10f
39,0.23626699999999998,anon,1000r,10f,anon1000r10f
40,0.173889,anon,1000r,15f,anon1000r15f
41,0.179809,anon,1000r,15f,anon1000r15f
42,0.174926,anon,1000r,15f,anon1000r15f
43,0.175109,anon,1000r,20f,anon1000r20f
44,0.204345,anon,1000r,20f,anon1000r20f
45,0.236511,anon,1000r,20f,anon1000r20f
46,0.411925,anon,5000r,10f,anon5000r10f
47,0.44439599999999996,anon,5000r,10f,anon5000r10f
48,0.44500599999999996,anon,5000r,10f,anon5000r10f
49,0.7117899999999999,anon,5000r,15f,anon5000r15f
50,0.670408,anon,5000r,15f,anon5000r15f
51,0.644164,anon,5000r,15f,anon5000r15f
52,0.882749,anon,5000r,20f,anon5000r20f
53,0.868711,anon,5000r,20f,anon5000r20f
54,0.868528,anon,5000r,20f,anon5000r20f
55,1.003966,orig,10000r,10f,orig10000r10f
56,0.9652689999999999,orig,10000r,10f,orig10000r10f
57,0.966368,orig,10000r,10f,orig10000r10f
58,1.468197,orig,10000r,15f,orig10000r15f
59,1.472226,orig,10000r,15f,orig10000r15f
60,1.392819,orig,10000r,15f,orig10000r15f
61,1.8041939999999999,orig,10000r,20f,orig10000r20f
62,1.7455399999999999,orig,10000r,20f,orig10000r20f
63,1.8345289999999999,orig,10000r,20f,orig10000r20f
64,0.172728,orig,1000r,10f,orig1000r10f
65,0.19927899999999998,orig,1000r,10f,orig1000r10f
66,0.176391,orig,1000r,10f,orig1000r10f
67,0.209106,orig,1000r,15f,orig1000r15f
68,0.175292,orig,1000r,15f,orig1000r15f
69,0.173462,orig,1000r,15f,orig1000r15f
70,0.267212,orig,1000r,20f,orig1000r20f
71,0.22472999999999999,orig,1000r,20f,orig1000r20f
72,0.23083499999999998,orig,1000r,20f,orig1000r20f
73,0.526489,orig,5000r,10f,orig5000r10f
74,0.46423299999999995,orig,5000r,10f,orig5000r10f
75,0.46807699999999997,orig,5000r,10f,orig5000r10f
76,0.701048,orig,5000r,15f,orig5000r15f
77,0.645323,orig,5000r,15f,orig5000r15f
78,0.6422709999999999,orig,5000r,15f,orig5000r15f
79,0.916014,orig,5000r,20f,orig5000r20f
80,0.896482,orig,5000r,20f,orig5000r20f
81,0.9283429999999999,orig,5000r,20f,orig5000r20f
82,0.9449449999999999,orig,10000r,10f,orig10000r10f
83,0.9873639999999999,orig,10000r,10f,orig10000r10f
84,0.980954,orig,10000r,10f,orig10000r10f
85,1.612422,orig,10000r,15f,orig10000r15f
86,1.418515,orig,10000r,15f,orig10000r15f
87,1.31976,orig,10000r,15f,orig10000r15f
88,1.8046209999999998,orig,10000r,20f,orig10000r20f
89,1.7767279999999999,orig,10000r,20f,orig10000r20f
90,1.8055979999999998,orig,10000r,20f,orig10000r20f
91,0.173157,orig,1000r,10f,orig1000r10f
92,0.152221,orig,1000r,10f,orig1000r10f
93,0.177124,orig,1000r,10f,orig1000r10f
94,0.174255,orig,1000r,15f,orig1000r15f
95,0.174622,orig,1000r,15f,orig1000r15f
96,0.174011,orig,1000r,15f,orig1000r15f
97,0.165405,orig,1000r,20f,orig1000r20f
98,0.20049999999999998,orig,1000r,20f,orig1000r20f
99,0.17535299999999998,orig,1000r,20f,orig1000r20f
100,0.460937,orig,5000r,10f,orig5000r10f
101,0.462096,orig,5000r,10f,orig5000r10f
102,0.467284,orig,5000r,10f,orig5000r10f
103,0.698484,orig,5000r,15f,orig5000r15f
104,0.648497,orig,5000r,15f,orig5000r15f
105,0.643247,orig,5000r,15f,orig5000r15f
106,0.902037,orig,5000r,20f,orig5000r20f
107,0.9420149999999999,orig,5000r,20f,orig5000r20f
108,0.8696879999999999,orig,5000r,20f,orig5000r20f
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
