id,joules,dataset,rows,features,exp
1,8.366189,anon,10000r,10f,anon10000r10f
2,8.41343,anon,10000r,10f,anon10000r10f
3,7.775187,anon,10000r,10f,anon10000r10f
4,7.405437999999999,anon,10000r,15f,anon10000r15f
5,7.064617999999999,anon,10000r,15f,anon10000r15f
6,7.283428,anon,10000r,15f,anon10000r15f
7,9.400670999999999,anon,10000r,20f,anon10000r20f
8,10.419285,anon,10000r,20f,anon10000r20f
9,10.173373999999999,anon,10000r,20f,anon10000r20f
10,0.670164,anon,1000r,10f,anon1000r10f
11,0.679075,anon,1000r,10f,anon1000r10f
12,0.7296119999999999,anon,1000r,10f,anon1000r10f
13,0.822569,anon,1000r,15f,anon1000r15f
14,0.75659,anon,1000r,15f,anon1000r15f
15,0.846128,anon,1000r,15f,anon1000r15f
16,1.0511439999999999,anon,1000r,20f,anon1000r20f
17,1.052914,anon,1000r,20f,anon1000r20f
18,0.8669399999999999,anon,1000r,20f,anon1000r20f
19,6.382857,anon,5000r,10f,anon5000r10f
20,6.325423,anon,5000r,10f,anon5000r10f
21,6.094405999999999,anon,5000r,10f,anon5000r10f
22,4.9932739999999995,anon,5000r,15f,anon5000r15f
23,4.752368,anon,5000r,15f,anon5000r15f
24,4.744617,anon,5000r,15f,anon5000r15f
25,7.205731,anon,5000r,20f,anon5000r20f
26,7.231915,anon,5000r,20f,anon5000r20f
27,6.669905,anon,5000r,20f,anon5000r20f
28,5.116076,anon,10000r,10f,anon10000r10f
29,5.464891,anon,10000r,10f,anon10000r10f
30,5.785996,anon,10000r,10f,anon10000r10f
31,8.218361999999999,anon,10000r,15f,anon10000r15f
32,8.397074,anon,10000r,15f,anon10000r15f
33,8.210611,anon,10000r,15f,anon10000r15f
34,5.6378639999999995,anon,10000r,20f,anon10000r20f
35,4.747974,anon,10000r,20f,anon10000r20f
36,4.877733999999999,anon,10000r,20f,anon10000r20f
37,0.828917,anon,1000r,10f,anon1000r10f
38,0.820921,anon,1000r,10f,anon1000r10f
39,0.833189,anon,1000r,10f,anon1000r10f
40,0.7800889999999999,anon,1000r,15f,anon1000r15f
41,0.779296,anon,1000r,15f,anon1000r15f
42,0.8379489999999999,anon,1000r,15f,anon1000r15f
43,0.6322019999999999,anon,1000r,20f,anon1000r20f
44,0.633787,anon,1000r,20f,anon1000r20f
45,0.5648179999999999,anon,1000r,20f,anon1000r20f
46,4.802172,anon,5000r,10f,anon5000r10f
47,4.809193,anon,5000r,10f,anon5000r10f
48,4.8184689999999994,anon,5000r,10f,anon5000r10f
49,6.100753,anon,5000r,15f,anon5000r15f
50,5.922287,anon,5000r,15f,anon5000r15f
51,5.909897,anon,5000r,15f,anon5000r15f
52,6.621747999999999,anon,5000r,20f,anon5000r20f
53,6.453596999999999,anon,5000r,20f,anon5000r20f
54,6.764631,anon,5000r,20f,anon5000r20f
55,440.45626999999996,orig,10000r,10f,orig10000r10f
56,451.479984,orig,10000r,10f,orig10000r10f
57,441.43557599999997,orig,10000r,10f,orig10000r10f
58,722.4548149999999,orig,10000r,15f,orig10000r15f
59,717.5925239999999,orig,10000r,15f,orig10000r15f
60,708.286089,orig,10000r,15f,orig10000r15f
61,748.613257,orig,10000r,20f,orig10000r20f
62,729.030727,orig,10000r,20f,orig10000r20f
63,735.7334079999999,orig,10000r,20f,orig10000r20f
64,8.83799,orig,1000r,10f,orig1000r10f
65,8.819251999999999,orig,1000r,10f,orig1000r10f
66,8.709572999999999,orig,1000r,10f,orig1000r10f
67,10.919772,orig,1000r,15f,orig1000r15f
68,11.22397,orig,1000r,15f,orig1000r15f
69,11.039399999999999,orig,1000r,15f,orig1000r15f
70,16.74599,orig,1000r,20f,orig1000r20f
71,14.778099,orig,1000r,20f,orig1000r20f
72,15.709311,orig,1000r,20f,orig1000r20f
73,193.084893,orig,5000r,10f,orig5000r10f
74,212.944829,orig,5000r,10f,orig5000r10f
75,209.40186799999998,orig,5000r,10f,orig5000r10f
76,248.416113,orig,5000r,15f,orig5000r15f
77,273.914338,orig,5000r,15f,orig5000r15f
78,250.719573,orig,5000r,15f,orig5000r15f
79,343.696997,orig,5000r,20f,orig5000r20f
80,324.038294,orig,5000r,20f,orig5000r20f
81,323.22146299999997,orig,5000r,20f,orig5000r20f
82,449.926521,orig,10000r,10f,orig10000r10f
83,452.83154399999995,orig,10000r,10f,orig10000r10f
84,444.313071,orig,10000r,10f,orig10000r10f
85,636.3321109999999,orig,10000r,15f,orig10000r15f
86,620.6046729999999,orig,10000r,15f,orig10000r15f
87,620.757627,orig,10000r,15f,orig10000r15f
88,539.636618,orig,10000r,20f,orig10000r20f
89,541.6065239999999,orig,10000r,20f,orig10000r20f
90,542.371719,orig,10000r,20f,orig10000r20f
91,9.422768,orig,1000r,10f,orig1000r10f
92,9.387976,orig,1000r,10f,orig1000r10f
93,8.924965,orig,1000r,10f,orig1000r10f
94,12.052766,orig,1000r,15f,orig1000r15f
95,12.034210999999999,orig,1000r,15f,orig1000r15f
96,13.179533,orig,1000r,15f,orig1000r15f
97,16.711444,orig,1000r,20f,orig1000r20f
98,15.976277999999999,orig,1000r,20f,orig1000r20f
99,13.828332999999999,orig,1000r,20f,orig1000r20f
100,199.901954,orig,5000r,10f,orig5000r10f
101,205.752647,orig,5000r,10f,orig5000r10f
102,207.03486999999998,orig,5000r,10f,orig5000r10f
103,278.966327,orig,5000r,15f,orig5000r15f
104,301.134116,orig,5000r,15f,orig5000r15f
105,274.294647,orig,5000r,15f,orig5000r15f
106,314.552051,orig,5000r,20f,orig5000r20f
107,316.640363,orig,5000r,20f,orig5000r20f
108,321.887359,orig,5000r,20f,orig5000r20f
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
