id,joules,dataset,rows,features,exp
1,648.4014169999999,anon,10000r,10f,anon10000r10f
2,648.625536,anon,10000r,10f,anon10000r10f
3,657.3781389999999,anon,10000r,10f,anon10000r10f
4,839.409899,anon,10000r,15f,anon10000r15f
5,819.203225,anon,10000r,15f,anon10000r15f
6,815.8874989999999,anon,10000r,15f,anon10000r15f
7,963.893102,anon,10000r,20f,anon10000r20f
8,955.4879099999999,anon,10000r,20f,anon10000r20f
9,951.887761,anon,10000r,20f,anon10000r20f
10,399.321426,anon,1000r,10f,anon1000r10f
11,391.203955,anon,1000r,10f,anon1000r10f
12,394.005705,anon,1000r,10f,anon1000r10f
13,404.244266,anon,1000r,15f,anon1000r15f
14,402.034676,anon,1000r,15f,anon1000r15f
15,399.094499,anon,1000r,15f,anon1000r15f
16,438.119484,anon,1000r,20f,anon1000r20f
17,436.89237499999996,anon,1000r,20f,anon1000r20f
18,433.58061599999996,anon,1000r,20f,anon1000r20f
19,481.64622799999995,anon,5000r,10f,anon5000r10f
20,482.11454899999995,anon,5000r,10f,anon5000r10f
21,485.512185,anon,5000r,10f,anon5000r10f
22,558.93021,anon,5000r,15f,anon5000r15f
23,557.621009,anon,5000r,15f,anon5000r15f
24,554.715682,anon,5000r,15f,anon5000r15f
25,608.679838,anon,5000r,20f,anon5000r20f
26,596.748106,anon,5000r,20f,anon5000r20f
27,591.9360459999999,anon,5000r,20f,anon5000r20f
28,635.8527429999999,anon,10000r,10f,anon10000r10f
29,637.150529,anon,10000r,10f,anon10000r10f
30,639.885813,anon,10000r,10f,anon10000r10f
31,832.444219,anon,10000r,15f,anon10000r15f
32,818.579203,anon,10000r,15f,anon10000r15f
33,810.678467,anon,10000r,15f,anon10000r15f
34,942.371551,anon,10000r,20f,anon10000r20f
35,931.115292,anon,10000r,20f,anon10000r20f
36,922.46291,anon,10000r,20f,anon10000r20f
37,383.996575,anon,1000r,10f,anon1000r10f
38,384.123163,anon,1000r,10f,anon1000r10f
39,389.176066,anon,1000r,10f,anon1000r10f
40,428.85254,anon,1000r,15f,anon1000r15f
41,429.203063,anon,1000r,15f,anon1000r15f
42,433.224477,anon,1000r,15f,anon1000r15f
43,430.186766,anon,1000r,20f,anon1000r20f
44,426.89917499999996,anon,1000r,20f,anon1000r20f
45,424.81141199999996,anon,1000r,20f,anon1000r20f
46,508.381756,anon,5000r,10f,anon5000r10f
47,506.039904,anon,5000r,10f,anon5000r10f
48,516.437399,anon,5000r,10f,anon5000r10f
49,541.420184,anon,5000r,15f,anon5000r15f
50,538.803492,anon,5000r,15f,anon5000r15f
51,542.03151,anon,5000r,15f,anon5000r15f
52,606.853183,anon,5000r,20f,anon5000r20f
53,599.12847,anon,5000r,20f,anon5000r20f
54,596.353088,anon,5000r,20f,anon5000r20f
55,844.167151,orig,10000r,10f,orig10000r10f
56,838.941822,orig,10000r,10f,orig10000r10f
57,847.9649929999999,orig,10000r,10f,orig10000r10f
58,932.154535,orig,10000r,15f,orig10000r15f
59,931.289181,orig,10000r,15f,orig10000r15f
60,910.5344729999999,orig,10000r,15f,orig10000r15f
61,1118.468878,orig,10000r,20f,orig10000r20f
62,1104.838726,orig,10000r,20f,orig10000r20f
63,1089.70351,orig,10000r,20f,orig10000r20f
64,427.19794099999996,orig,1000r,10f,orig1000r10f
65,420.386986,orig,1000r,10f,orig1000r10f
66,429.421385,orig,1000r,10f,orig1000r10f
67,452.46057299999995,orig,1000r,15f,orig1000r15f
68,448.99647,orig,1000r,15f,orig1000r15f
69,449.06959,orig,1000r,15f,orig1000r15f
70,500.759094,orig,1000r,20f,orig1000r20f
71,500.255189,orig,1000r,20f,orig1000r20f
72,497.688607,orig,1000r,20f,orig1000r20f
73,655.9964279999999,orig,5000r,10f,orig5000r10f
74,638.902478,orig,5000r,10f,orig5000r10f
75,643.8354499999999,orig,5000r,10f,orig5000r10f
76,683.10311,orig,5000r,15f,orig5000r15f
77,687.894968,orig,5000r,15f,orig5000r15f
78,675.095867,orig,5000r,15f,orig5000r15f
79,768.649642,orig,5000r,20f,orig5000r20f
80,755.1025599999999,orig,5000r,20f,orig5000r20f
81,755.772297,orig,5000r,20f,orig5000r20f
82,792.463364,orig,10000r,10f,orig10000r10f
83,792.354967,orig,10000r,10f,orig10000r10f
84,789.9709389999999,orig,10000r,10f,orig10000r10f
85,927.44422,orig,10000r,15f,orig10000r15f
86,917.572235,orig,10000r,15f,orig10000r15f
87,900.2763199999999,orig,10000r,15f,orig10000r15f
88,1046.7597719999999,orig,10000r,20f,orig10000r20f
89,1035.4659159999999,orig,10000r,20f,orig10000r20f
90,1034.923741,orig,10000r,20f,orig10000r20f
91,410.751878,orig,1000r,10f,orig1000r10f
92,408.842825,orig,1000r,10f,orig1000r10f
93,411.367233,orig,1000r,10f,orig1000r10f
94,478.160153,orig,1000r,15f,orig1000r15f
95,476.78533899999996,orig,1000r,15f,orig1000r15f
96,474.700444,orig,1000r,15f,orig1000r15f
97,466.95113599999996,orig,1000r,20f,orig1000r20f
98,466.051603,orig,1000r,20f,orig1000r20f
99,463.628451,orig,1000r,20f,orig1000r20f
100,614.109024,orig,5000r,10f,orig5000r10f
101,622.9973679999999,orig,5000r,10f,orig5000r10f
102,627.082317,orig,5000r,10f,orig5000r10f
103,690.469241,orig,5000r,15f,orig5000r15f
104,692.370237,orig,5000r,15f,orig5000r15f
105,685.260636,orig,5000r,15f,orig5000r15f
106,771.3480629999999,orig,5000r,20f,orig5000r20f
