id,joules,dataset
1,3.11309,anon
2,3.079521,anon
3,2.948234,anon
4,7.318035,anon
5,7.673137,anon
6,7.70756,anon
7,3.833791,anon
8,4.041189,anon
9,3.80364,anon
10,0.257629,anon
11,0.254088,anon
12,0.295776,anon
13,0.495787,anon
14,0.522277,anon
15,0.527952,anon
16,0.706174,anon
17,0.671507,anon
18,0.663329,anon
19,1.458187,anon
20,1.407345,anon
21,1.563717,anon
22,2.322137,anon
23,2.241693,anon
24,2.229181,anon
25,2.219415,anon
26,2.209283,anon
27,2.211847,anon
28,3.21917,anon
29,3.309562,anon
30,3.176262,anon
31,3.95989,anon
32,4.2719,anon
33,3.873342,anon
34,7.249005,anon
35,7.811809,anon
36,7.123151,anon
37,0.329467,anon
38,0.327269,anon
39,0.351927,anon
40,0.357727,anon
41,0.346802,anon
42,0.375365,anon
43,0.660095,anon
44,0.673277,anon
45,0.584289,anon
46,1.596797,anon
47,1.535152,anon
48,1.658137,anon
49,1.631343,anon
50,1.574887,anon
51,1.555111,anon
52,2.18017,anon
53,2.206538,anon
54,2.275507,anon
55,12.497099,orig
56,12.621001,orig
57,13.003567,orig
58,13.804102,orig
59,13.494655,orig
60,13.499294,orig
61,27.093619,orig
62,26.843743,orig
63,27.132377,orig
64,1.24487,orig
65,1.312801,orig
66,1.3139,orig
67,1.665767,orig
68,1.621395,orig
69,1.533077,orig
70,1.497066,orig
71,1.48541,orig
72,1.401486,orig
73,2.700554,orig
74,2.761407,orig
75,2.603448,orig
76,10.847385,orig
77,10.18015,orig
78,10.303563,orig
79,17.219622,orig
80,17.336503,orig
81,16.005146,orig
82,29.228197,orig
83,29.27733,orig
84,27.906972,orig
85,22.620791,orig
86,22.083073,orig
87,22.434574,orig
88,21.244391,orig
89,21.291938,orig
90,21.567084,orig
91,1.144101,orig
92,1.129879,orig
93,1.111142,orig
94,1.308651,orig
95,1.249448,orig
96,1.263669,orig
97,1.717647,orig
98,1.620357,orig
99,1.610469,orig
100,5.697495,orig
101,5.708847,orig
102,5.98912,orig
103,9.519994,orig
104,8.8256,orig
105,9.029884,orig
106,13.634303,orig
107,12.868253,orig
108,12.944608,orig
109,78.210493,anon
110,75.206289,anon
111,77.445602,anon
112,103.77988599999999,anon
113,108.317899,anon
114,116.39954399999999,anon
115,103.42948299999999,anon
116,95.76763799999999,anon
117,106.64572299999999,anon
118,1.965388,anon
119,2.04986,anon
120,1.9951729999999999,anon
121,3.2834999999999996,anon
122,3.157403,anon
123,3.121756,anon
124,14.199121,anon
125,14.212487999999999,anon
126,12.604949,anon
127,25.592585,anon
128,25.585932999999997,anon
129,25.901301,anon
130,42.377883,anon
131,36.360686,anon
132,65.256912,anon
133,30.568890999999997,anon
134,26.996817999999998,anon
135,27.034537999999998,anon
136,87.18489699999999,anon
137,90.750501,anon
138,85.910241,anon
139,110.68874199999999,anon
140,102.928936,anon
141,122.99816,anon
142,142.927979,anon
143,139.44153799999998,anon
144,122.07543199999999,anon
145,2.098016,anon
146,2.046747,anon
147,2.036066,anon
148,2.291254,anon
149,2.169245,anon
150,2.204401,anon
151,4.275685,anon
152,4.3140149999999995,anon
153,4.549733,anon
154,13.689784,anon
155,13.534267,anon
156,13.715295999999999,anon
157,23.548707,anon
158,23.883117,anon
159,21.908941,anon
160,54.926251,anon
161,52.804795999999996,anon
162,52.347338,anon
163,126.07243,orig
164,139.353648,orig
165,138.279065,orig
166,170.799368,orig
167,175.16196599999998,orig
168,188.34796799999998,orig
169,273.791902,orig
170,258.341136,orig
171,252.289332,orig
172,4.241567,orig
173,4.2728779999999995,orig
174,7.8611249999999995,orig
175,7.228740999999999,orig
176,6.613874,orig
177,6.497053999999999,orig
178,6.357345,orig
179,6.199326,orig
180,6.190841,orig
181,33.355565999999996,orig
182,40.449237,orig
183,33.441625,orig
184,86.024377,orig
185,80.081582,orig
186,102.936139,orig
187,98.297844,orig
188,102.966594,orig
189,120.81335,orig
190,163.744331,orig
191,163.785957,orig
192,178.44259699999998,orig
193,238.848021,orig
194,228.50368699999999,orig
195,249.373019,orig
196,268.871198,orig
197,263.820859,orig
198,254.306783,orig
199,4.012929,orig
200,3.932546,orig
201,3.9161279999999996,orig
202,6.428328,orig
203,5.5059059999999995,orig
204,5.718247,orig
205,16.437518999999998,orig
206,15.652913999999999,orig
207,23.66205,orig
208,56.280128999999995,orig
209,55.102641999999996,orig
210,54.744122,orig
211,84.000946,orig
212,76.183887,orig
213,74.625969,orig
214,97.29101,orig
215,88.620014,orig
216,94.57306,orig
217,1493.406943,anon
218,1469.934347,anon
219,1465.014621,anon
220,2116.90083,anon
221,2084.09525,anon
222,2011.870399,anon
223,1698.986007,anon
224,1667.182988,anon
225,1670.9836369999998,anon
226,427.354497,anon
227,431.929741,anon
228,430.669003,anon
229,463.563083,anon
230,456.523124,anon
231,457.177357,anon
232,535.014988,anon
233,527.135003,anon
234,527.303459,anon
235,841.375775,anon
236,842.156719,anon
237,840.530807,anon
238,1033.627603,anon
239,1003.299678,anon
240,1014.8233899999999,anon
241,1046.256598,anon
242,992.8907069999999,anon
243,993.5297439999999,anon
244,1325.717432,anon
245,1288.505612,anon
246,1282.618115,anon
247,1773.847571,anon
248,1709.228535,anon
249,1752.339874,anon
250,2382.956912,anon
251,2398.257288,anon
252,2261.521433,anon
253,448.989147,anon
254,454.079281,anon
255,453.617552,anon
256,453.104858,anon
257,445.179464,anon
258,444.869039,anon
259,555.461774,anon
260,547.747437,anon
261,548.008058,anon
262,882.8054179999999,anon
263,878.0957139999999,anon
264,871.36105,anon
265,957.8893939999999,anon
266,927.7226009999999,anon
267,938.861488,anon
268,1060.773347,anon
269,1050.329098,anon
270,1044.601695,anon
271,3594.555007,orig
272,3607.1865049999997,orig
273,3706.617953,orig
274,5021.967122999999,orig
275,4851.286225,orig
276,4950.593832,orig
277,10520.75407,orig
278,10399.90917,orig
279,10441.80695,orig
280,713.1419129999999,orig
281,713.552495,orig
282,719.6754649999999,orig
283,767.6515989999999,orig
284,748.439856,orig
285,746.857525,orig
286,761.954349,orig
287,749.551487,orig
288,761.4930459999999,orig
289,1353.3197169999999,orig
290,1378.669078,orig
291,1357.4202309999998,orig
292,3216.6441689999997,orig
293,3106.8039369999997,orig
294,2855.878553,orig
295,4345.686812,orig
296,4597.5590919999995,orig
297,4416.977523,orig
298,8801.196402,orig
299,8862.085528,orig
300,8575.589069,orig
301,7588.257796,orig
302,7448.669529,orig
303,7438.296143,orig
304,8138.478494999999,orig
305,7955.754779,orig
306,7783.780793999999,orig
307,681.642176,orig
308,678.815339,orig
309,681.835107,orig
310,728.100736,orig
311,716.783505,orig
312,703.9208669999999,orig
313,808.965275,orig
314,791.130176,orig
315,793.772749,orig
316,1887.658132,orig
317,1967.232575,orig
318,1950.145032,orig
319,2944.292634,orig
320,2982.983696,orig
321,2950.3495629999998,orig
322,4211.091941,orig
323,4236.481342,orig
324,4195.306093,orig
325,1.030027,anon
326,1.005063,anon
327,1.02783,anon
328,1.6827949999999998,anon
329,1.5938679999999998,anon
330,1.585872,anon
331,1.984186,anon
332,2.191278,anon
333,2.049738,anon
334,0.14154,anon
335,0.144164,anon
336,0.160156,anon
337,0.243774,anon
338,0.176147,anon
339,0.14874199999999999,anon
340,0.27014099999999996,anon
341,0.19860799999999998,anon
342,0.23510699999999998,anon
343,0.5109239999999999,anon
344,0.518249,anon
345,0.565306,anon
346,0.822813,anon
347,0.7652559999999999,anon
348,0.7650739999999999,anon
349,0.87286,anon
350,0.9123509999999999,anon
351,0.876401,anon
352,1.1184669999999999,anon
353,1.038877,anon
354,1.088681,anon
355,1.5545609999999999,anon
356,1.8559519999999998,anon
357,1.586482,anon
358,1.817867,anon
359,2.306575,anon
360,1.845332,anon
361,0.176085,anon
362,0.179565,anon
363,0.20104899999999998,anon
364,0.259276,anon
365,0.179748,anon
366,0.184997,anon
367,0.235168,anon
368,0.20477199999999998,anon
369,0.212951,anon
370,0.357116,anon
371,0.407835,anon
372,0.38067599999999996,anon
373,0.770749,anon
374,0.761289,anon
375,0.7640359999999999,anon
376,0.876402,anon
377,0.879637,anon
378,0.8868389999999999,anon
379,0.648192,orig
380,0.646482,orig
381,0.648802,orig
382,0.8789659999999999,orig
383,0.8172579999999999,orig
384,0.8860439999999999,orig
385,0.978329,orig
386,1.258175,orig
387,1.050168,orig
388,0.200622,orig
389,0.154175,orig
390,0.142639,orig
391,0.177062,orig
392,0.174011,orig
393,0.177733,orig
394,0.23632699999999998,orig
395,0.21026499999999998,orig
396,0.21087499999999998,orig
397,0.341918,orig
398,0.349303,orig
399,0.333983,orig
400,0.46740699999999996,orig
401,0.412047,orig
402,0.411193,orig
403,0.5399769999999999,orig
404,0.471862,orig
405,0.529724,orig
406,0.586241,orig
407,0.590513,orig
408,0.5590189999999999,orig
409,0.8186019999999999,orig
410,0.7593369999999999,orig
411,0.803831,orig
412,0.996091,orig
413,1.025816,orig
414,1.058346,orig
415,0.153992,orig
416,0.12060599999999999,orig
417,0.121582,orig
418,1.068479,orig
419,0.158447,orig
420,0.155395,orig
421,6.387312,orig
422,0.216308,orig
423,0.14105099999999998,orig
424,0.31732099999999996,orig
425,0.27954,orig
426,0.333678,orig
427,0.40685899999999997,orig
428,0.413879,orig
429,0.355164,orig
430,0.515135,orig
431,0.469726,orig
432,0.533752,orig
433,3.879507,anon
434,3.910085,anon
435,3.830008,anon
436,8.532388,anon
437,8.789223,anon
438,8.388345,anon
439,11.773895,anon
440,11.95108,anon
441,12.185697999999999,anon
442,0.690672,anon
443,0.701537,anon
444,0.714658,anon
445,0.900937,anon
446,0.864255,anon
447,0.876768,anon
448,1.254819,anon
449,1.3045,anon
450,1.161679,anon
451,3.497244,anon
452,3.5012119999999998,anon
453,3.549063,anon
454,4.760668,anon
455,4.902209,anon
456,4.591114,anon
457,5.809557,anon
458,5.7811129999999995,anon
459,5.805649,anon
460,4.624743,anon
461,4.525319,anon
462,4.293934999999999,anon
463,8.694253,anon
464,8.909035,anon
465,8.528177,anon
466,12.816127999999999,anon
467,12.65878,anon
468,12.015533,anon
469,0.825743,anon
470,0.808653,anon
471,0.7938219999999999,anon
472,0.905515,anon
473,0.83563,anon
474,0.849362,anon
475,1.092832,anon
476,1.0759859999999999,anon
477,1.057675,anon
478,1.727596,anon
479,1.562863,anon
480,1.7698319999999998,anon
481,4.317372,anon
482,4.256641,anon
483,4.226185,anon
484,5.908920999999999,anon
485,5.858445,anon
486,5.949204,anon
487,8.152689,orig
488,8.017558,orig
489,7.821695999999999,orig
