id,joules,dataset,algorithm,features,exp
1,78.210493,anon,lr,10f,anon_lr_10f_a
2,75.206289,anon,lr,10f,anon_lr_10f_a
3,77.445602,anon,lr,10f,anon_lr_10f_a
4,103.779886,anon,lr,15f,anon_lr_15f_a
5,108.317899,anon,lr,15f,anon_lr_15f_a
6,116.399544,anon,lr,15f,anon_lr_15f_a
7,103.429483,anon,lr,20f,anon_lr_20f_a
8,95.767638,anon,lr,20f,anon_lr_20f_a
9,106.645723,anon,lr,20f,anon_lr_20f_a
10,1.965388,anon,lr,10f,anon_lr_10f_a
11,2.04986,anon,lr,10f,anon_lr_10f_a
12,1.995173,anon,lr,10f,anon_lr_10f_a
13,3.2835,anon,lr,15f,anon_lr_15f_a
14,3.157403,anon,lr,15f,anon_lr_15f_a
15,3.121756,anon,lr,15f,anon_lr_15f_a
16,14.199121,anon,lr,20f,anon_lr_20f_a
17,14.212488,anon,lr,20f,anon_lr_20f_a
18,12.604949,anon,lr,20f,anon_lr_20f_a
19,25.592585,anon,lr,10f,anon_lr_10f_a
20,25.585933,anon,lr,10f,anon_lr_10f_a
21,25.901301,anon,lr,10f,anon_lr_10f_a
22,42.377883,anon,lr,15f,anon_lr_15f_a
23,36.360686,anon,lr,15f,anon_lr_15f_a
24,65.256912,anon,lr,15f,anon_lr_15f_a
25,30.568891,anon,lr,20f,anon_lr_20f_a
26,26.996818,anon,lr,20f,anon_lr_20f_a
27,27.034538,anon,lr,20f,anon_lr_20f_a
28,87.18489699999999,anon,lr,10f,anon_lr_10f_a
29,90.750501,anon,lr,10f,anon_lr_10f_a
30,85.910241,anon,lr,10f,anon_lr_10f_a
31,110.688742,anon,lr,15f,anon_lr_15f_a
32,102.928936,anon,lr,15f,anon_lr_15f_a
33,122.99816,anon,lr,15f,anon_lr_15f_a
34,142.927979,anon,lr,20f,anon_lr_20f_a
35,139.44153799999998,anon,lr,20f,anon_lr_20f_a
36,122.075432,anon,lr,20f,anon_lr_20f_a
37,2.098016,anon,lr,10f,anon_lr_10f_a
38,2.046747,anon,lr,10f,anon_lr_10f_a
39,2.036066,anon,lr,10f,anon_lr_10f_a
40,2.291254,anon,lr,15f,anon_lr_15f_a
41,2.169245,anon,lr,15f,anon_lr_15f_a
42,2.204401,anon,lr,15f,anon_lr_15f_a
43,4.275685,anon,lr,20f,anon_lr_20f_a
44,4.314015,anon,lr,20f,anon_lr_20f_a
45,4.549733,anon,lr,20f,anon_lr_20f_a
46,13.689784,anon,lr,10f,anon_lr_10f_a
47,13.534267,anon,lr,10f,anon_lr_10f_a
48,13.715296,anon,lr,10f,anon_lr_10f_a
49,23.548707,anon,lr,15f,anon_lr_15f_a
50,23.883117,anon,lr,15f,anon_lr_15f_a
51,21.908941,anon,lr,15f,anon_lr_15f_a
52,54.926251,anon,lr,20f,anon_lr_20f_a
53,52.804796,anon,lr,20f,anon_lr_20f_a
54,52.347338,anon,lr,20f,anon_lr_20f_a
55,126.07243,orig,lr,10f,orig_lr_10f_a
56,139.353648,orig,lr,10f,orig_lr_10f_a
57,138.279065,orig,lr,10f,orig_lr_10f_a
58,170.799368,orig,lr,15f,orig_lr_15f_a
59,175.16196599999998,orig,lr,15f,orig_lr_15f_a
60,188.347968,orig,lr,15f,orig_lr_15f_a
61,273.791902,orig,lr,20f,orig_lr_20f_a
62,258.341136,orig,lr,20f,orig_lr_20f_a
63,252.289332,orig,lr,20f,orig_lr_20f_a
64,4.241567,orig,lr,10f,orig_lr_10f_a
65,4.272878,orig,lr,10f,orig_lr_10f_a
66,7.861124999999999,orig,lr,10f,orig_lr_10f_a
67,7.228740999999999,orig,lr,15f,orig_lr_15f_a
68,6.613874,orig,lr,15f,orig_lr_15f_a
69,6.497053999999999,orig,lr,15f,orig_lr_15f_a
70,6.357345,orig,lr,20f,orig_lr_20f_a
71,6.199326,orig,lr,20f,orig_lr_20f_a
72,6.190841,orig,lr,20f,orig_lr_20f_a
73,33.355566,orig,lr,10f,orig_lr_10f_a
74,40.449237,orig,lr,10f,orig_lr_10f_a
75,33.441625,orig,lr,10f,orig_lr_10f_a
76,86.024377,orig,lr,15f,orig_lr_15f_a
77,80.081582,orig,lr,15f,orig_lr_15f_a
78,102.936139,orig,lr,15f,orig_lr_15f_a
79,98.297844,orig,lr,20f,orig_lr_20f_a
80,102.966594,orig,lr,20f,orig_lr_20f_a
81,120.81335,orig,lr,20f,orig_lr_20f_a
82,163.744331,orig,lr,10f,orig_lr_10f_a
83,163.785957,orig,lr,10f,orig_lr_10f_a
84,178.44259699999998,orig,lr,10f,orig_lr_10f_a
85,238.848021,orig,lr,15f,orig_lr_15f_a
