id,joules,dataset,algorithm,features,exp
1,1493.406943,anon,rf,10f,anon_rf_10f_a
2,1469.934347,anon,rf,10f,anon_rf_10f_a
3,1465.014621,anon,rf,10f,anon_rf_10f_a
4,2116.90083,anon,rf,15f,anon_rf_15f_a
5,2084.09525,anon,rf,15f,anon_rf_15f_a
6,2011.870399,anon,rf,15f,anon_rf_15f_a
7,1698.986007,anon,rf,20f,anon_rf_20f_a
8,1667.182988,anon,rf,20f,anon_rf_20f_a
9,1670.9836369999998,anon,rf,20f,anon_rf_20f_a
10,427.354497,anon,rf,10f,anon_rf_10f_a
11,431.929741,anon,rf,10f,anon_rf_10f_a
12,430.669003,anon,rf,10f,anon_rf_10f_a
13,463.563083,anon,rf,15f,anon_rf_15f_a
14,456.523124,anon,rf,15f,anon_rf_15f_a
15,457.177357,anon,rf,15f,anon_rf_15f_a
16,535.014988,anon,rf,20f,anon_rf_20f_a
17,527.135003,anon,rf,20f,anon_rf_20f_a
18,527.303459,anon,rf,20f,anon_rf_20f_a
19,841.375775,anon,rf,10f,anon_rf_10f_a
20,842.156719,anon,rf,10f,anon_rf_10f_a
21,840.530807,anon,rf,10f,anon_rf_10f_a
22,1033.627603,anon,rf,15f,anon_rf_15f_a
23,1003.299678,anon,rf,15f,anon_rf_15f_a
24,1014.82339,anon,rf,15f,anon_rf_15f_a
25,1046.256598,anon,rf,20f,anon_rf_20f_a
26,992.890707,anon,rf,20f,anon_rf_20f_a
27,993.529744,anon,rf,20f,anon_rf_20f_a
28,1325.717432,anon,rf,10f,anon_rf_10f_a
29,1288.505612,anon,rf,10f,anon_rf_10f_a
30,1282.618115,anon,rf,10f,anon_rf_10f_a
31,1773.847571,anon,rf,15f,anon_rf_15f_a
32,1709.228535,anon,rf,15f,anon_rf_15f_a
33,1752.339874,anon,rf,15f,anon_rf_15f_a
34,2382.956912,anon,rf,20f,anon_rf_20f_a
35,2398.257288,anon,rf,20f,anon_rf_20f_a
36,2261.521433,anon,rf,20f,anon_rf_20f_a
37,448.989147,anon,rf,10f,anon_rf_10f_a
38,454.079281,anon,rf,10f,anon_rf_10f_a
39,453.617552,anon,rf,10f,anon_rf_10f_a
40,453.104858,anon,rf,15f,anon_rf_15f_a
41,445.179464,anon,rf,15f,anon_rf_15f_a
42,444.869039,anon,rf,15f,anon_rf_15f_a
43,555.461774,anon,rf,20f,anon_rf_20f_a
44,547.747437,anon,rf,20f,anon_rf_20f_a
45,548.008058,anon,rf,20f,anon_rf_20f_a
46,882.8054179999999,anon,rf,10f,anon_rf_10f_a
47,878.0957139999999,anon,rf,10f,anon_rf_10f_a
48,871.36105,anon,rf,10f,anon_rf_10f_a
49,957.889394,anon,rf,15f,anon_rf_15f_a
50,927.722601,anon,rf,15f,anon_rf_15f_a
51,938.861488,anon,rf,15f,anon_rf_15f_a
52,1060.773347,anon,rf,20f,anon_rf_20f_a
53,1050.329098,anon,rf,20f,anon_rf_20f_a
54,1044.601695,anon,rf,20f,anon_rf_20f_a
55,3594.555007,orig,rf,10f,orig_rf_10f_a
56,3607.186505,orig,rf,10f,orig_rf_10f_a
57,3706.617953,orig,rf,10f,orig_rf_10f_a
58,5021.967122999999,orig,rf,15f,orig_rf_15f_a
59,4851.286225,orig,rf,15f,orig_rf_15f_a
60,4950.593832,orig,rf,15f,orig_rf_15f_a
61,10520.75407,orig,rf,20f,orig_rf_20f_a
62,10399.90917,orig,rf,20f,orig_rf_20f_a
63,10441.80695,orig,rf,20f,orig_rf_20f_a
64,713.1419129999999,orig,rf,10f,orig_rf_10f_a
65,713.552495,orig,rf,10f,orig_rf_10f_a
66,719.6754649999999,orig,rf,10f,orig_rf_10f_a
67,767.6515989999999,orig,rf,15f,orig_rf_15f_a
68,748.439856,orig,rf,15f,orig_rf_15f_a
69,746.857525,orig,rf,15f,orig_rf_15f_a
70,761.954349,orig,rf,20f,orig_rf_20f_a
71,749.551487,orig,rf,20f,orig_rf_20f_a
72,761.4930459999999,orig,rf,20f,orig_rf_20f_a
73,1353.319717,orig,rf,10f,orig_rf_10f_a
74,1378.669078,orig,rf,10f,orig_rf_10f_a
75,1357.4202309999998,orig,rf,10f,orig_rf_10f_a
76,3216.644169,orig,rf,15f,orig_rf_15f_a
77,3106.803937,orig,rf,15f,orig_rf_15f_a
78,2855.878553,orig,rf,15f,orig_rf_15f_a
79,4345.686812,orig,rf,20f,orig_rf_20f_a
80,4597.559092,orig,rf,20f,orig_rf_20f_a
81,4416.977523,orig,rf,20f,orig_rf_20f_a
82,8801.196402,orig,rf,10f,orig_rf_10f_a
83,8862.085528,orig,rf,10f,orig_rf_10f_a
84,8575.589069,orig,rf,10f,orig_rf_10f_a
85,7588.257796,orig,rf,15f,orig_rf_15f_a
86,7448.669529,orig,rf,15f,orig_rf_15f_a
87,7438.296143,orig,rf,15f,orig_rf_15f_a
88,8138.478494999999,orig,rf,20f,orig_rf_20f_a
89,7955.754779,orig,rf,20f,orig_rf_20f_a
90,7783.780793999999,orig,rf,20f,orig_rf_20f_a
91,681.642176,orig,rf,10f,orig_rf_10f_a
92,678.815339,orig,rf,10f,orig_rf_10f_a
93,681.835107,orig,rf,10f,orig_rf_10f_a
94,728.100736,orig,rf,15f,orig_rf_15f_a
95,716.783505,orig,rf,15f,orig_rf_15f_a
96,703.9208669999999,orig,rf,15f,orig_rf_15f_a
97,808.965275,orig,rf,20f,orig_rf_20f_a
98,791.130176,orig,rf,20f,orig_rf_20f_a
99,793.772749,orig,rf,20f,orig_rf_20f_a
100,1887.658132,orig,rf,10f,orig_rf_10f_a
101,1967.232575,orig,rf,10f,orig_rf_10f_a
102,1950.145032,orig,rf,10f,orig_rf_10f_a
103,2944.292634,orig,rf,15f,orig_rf_15f_a
104,2982.983696,orig,rf,15f,orig_rf_15f_a
105,2950.349563,orig,rf,15f,orig_rf_15f_a
106,4211.091941,orig,rf,20f,orig_rf_20f_a
107,4236.481342,orig,rf,20f,orig_rf_20f_a
108,4195.306093,orig,rf,20f,orig_rf_20f_a
109,1396.302944,anon,rf,10f,anon_rf_10f_d
110,1384.453975,anon,rf,10f,anon_rf_10f_d
111,1388.482652,anon,rf,10f,anon_rf_10f_d
