id,joules,dataset,algorithm,features,exp
1,3.11309,anon,knn,10f,anon_knn_10f_a
2,3.079521,anon,knn,10f,anon_knn_10f_a
3,2.948234,anon,knn,10f,anon_knn_10f_a
4,7.318035,anon,knn,15f,anon_knn_15f_a
5,7.673137,anon,knn,15f,anon_knn_15f_a
6,7.70756,anon,knn,15f,anon_knn_15f_a
7,3.833791,anon,knn,20f,anon_knn_20f_a
8,4.041189,anon,knn,20f,anon_knn_20f_a
9,3.80364,anon,knn,20f,anon_knn_20f_a
10,0.257629,anon,knn,10f,anon_knn_10f_a
11,0.254088,anon,knn,10f,anon_knn_10f_a
12,0.295776,anon,knn,10f,anon_knn_10f_a
13,0.495787,anon,knn,15f,anon_knn_15f_a
14,0.522277,anon,knn,15f,anon_knn_15f_a
15,0.527952,anon,knn,15f,anon_knn_15f_a
16,0.706174,anon,knn,20f,anon_knn_20f_a
17,0.671507,anon,knn,20f,anon_knn_20f_a
18,0.663329,anon,knn,20f,anon_knn_20f_a
19,1.458187,anon,knn,10f,anon_knn_10f_a
20,1.407345,anon,knn,10f,anon_knn_10f_a
21,1.563717,anon,knn,10f,anon_knn_10f_a
22,2.322137,anon,knn,15f,anon_knn_15f_a
23,2.241693,anon,knn,15f,anon_knn_15f_a
24,2.229181,anon,knn,15f,anon_knn_15f_a
25,2.219415,anon,knn,20f,anon_knn_20f_a
26,2.209283,anon,knn,20f,anon_knn_20f_a
27,2.211847,anon,knn,20f,anon_knn_20f_a
28,3.21917,anon,knn,10f,anon_knn_10f_a
29,3.309562,anon,knn,10f,anon_knn_10f_a
30,3.176262,anon,knn,10f,anon_knn_10f_a
31,3.95989,anon,knn,15f,anon_knn_15f_a
32,4.2719,anon,knn,15f,anon_knn_15f_a
33,3.873342,anon,knn,15f,anon_knn_15f_a
34,7.249005,anon,knn,20f,anon_knn_20f_a
35,7.811809,anon,knn,20f,anon_knn_20f_a
36,7.123151,anon,knn,20f,anon_knn_20f_a
37,0.329467,anon,knn,10f,anon_knn_10f_a
38,0.327269,anon,knn,10f,anon_knn_10f_a
39,0.351927,anon,knn,10f,anon_knn_10f_a
40,0.357727,anon,knn,15f,anon_knn_15f_a
41,0.346802,anon,knn,15f,anon_knn_15f_a
42,0.375365,anon,knn,15f,anon_knn_15f_a
43,0.660095,anon,knn,20f,anon_knn_20f_a
44,0.673277,anon,knn,20f,anon_knn_20f_a
