address_R,address_U,higher_no,higher_yes,romantic_no,romantic_yes,paid_no,paid_yes,higher_no,higher_yes,famsup_no,famsup_yes,higher_no,higher_yes,schoolsup_no,schoolsup_yes,famsup_no,famsup_yes,address_R,address_U
0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1
0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1
0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1
1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1
0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1
0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1
0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1
1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1
0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1
0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1
0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0
0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1
0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1
0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1
0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1
