Pstatus_A,Pstatus_T,romantic_no,romantic_yes,internet_no,internet_yes,higher_no,higher_yes,nursery_no,nursery_yes,internet_no,internet_yes,paid_no,paid_yes,schoolsup_no,schoolsup_yes,address_R,address_U,romantic_no,romantic_yes
0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0
0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0
0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0
0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0
0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0
0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0
0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0
0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0
0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0
0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1
0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0
0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1
0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0
0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0
0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1
0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0
0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0
0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1
0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0
0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0
0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1
0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0
0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0
0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0
0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1
0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1
1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0
0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0
0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1
0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0
0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0
0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0
0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0
0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0
1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0
0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0
0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0
0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0
0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1
0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0
0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0
0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1
0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0
1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0
